diagram_prefix,section_slug,section_name,diagram_codes,diagram_names,image_paths,source_section,source_diagram,oem_number,part_name,quantity,production_period,applies_for_models,notes,group_code,engine_tokens,interchange_signal,confidence_gate,required_verification,shared_engine_candidate,donor_engine_tokens,shared_confidence_statement,shared_required_verification
001,engine-main,Engine Main,001_01,ENGINE ASSEMBLY,/diagrams/01_ENGINE_MAIN/B11_001_01_LH_2_LR.gif,Engine Main,ENGINE ASSEMBLY,10100BB480,ENGINE ASSEMBLY,01,EJ25DNWDJA,*MT.EJ25D,EXC.A/C EKE5E9KA,10100,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
001,engine-main,Engine Main,001_01,ENGINE ASSEMBLY,/diagrams/01_ENGINE_MAIN/B11_001_01_LH_2_LR.gif,Engine Main,ENGINE ASSEMBLY,10100BB490,ENGINE ASSEMBLY,01,EJ25DNWDJB,*MT.EJ25D,FOR A/C E5E9K4,10100,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
001,engine-main,Engine Main,001_01,ENGINE ASSEMBLY,/diagrams/01_ENGINE_MAIN/B11_001_01_LH_2_LR.gif,Engine Main,ENGINE ASSEMBLY,10100BB540,ENGINE ASSEMBLY,01,EJ25DRWDJB,*MT.EJ25D,FOR A/C KS,10100,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
003,engine-main,Engine Main,003_01,SHORT BLOCK ENGINE,/diagrams/01_ENGINE_MAIN/B11_003_01_LH_2_LR.gif,Engine Main,SHORT BLOCK ENGINE,10103AA770,SHORT BLOCK ENGINE ASSEMBLY,01,-E/#2213361,EJ25D,EC E2 E5 E9 K4,10103,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
003,engine-main,Engine Main,003_01,SHORT BLOCK ENGINE,/diagrams/01_ENGINE_MAIN/B11_003_01_LH_2_LR.gif,Engine Main,SHORT BLOCK ENGINE,10103AA890,SHORT BLOCK ENGINE ASSEMBLY,01,,EJ25D.N/S,KS K0 -E/#2213361,10103,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
003,engine-main,Engine Main,003_01,SHORT BLOCK ENGINE,/diagrams/01_ENGINE_MAIN/B11_003_01_LH_2_LR.gif,Engine Main,SHORT BLOCK ENGINE,10103AA970,SHORT BLOCK ENGINE ASSEMBLY,01,E/#2213362-,EJ25D,EC E2 E5 E9 K4,10103,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
003,engine-main,Engine Main,003_01,SHORT BLOCK ENGINE,/diagrams/01_ENGINE_MAIN/B11_003_01_LH_2_LR.gif,Engine Main,SHORT BLOCK ENGINE,10103AA980,SHORT BLOCK ENGINE ASSEMBLY,01,,EJ25D.N/S,KS KO E/#2213362-,10103,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,01050818A,FLANGE BOLT,,,,,01050818A,,common_or_unspecified_bg_chassis_part,Can reach 95%+ only when the donor has the same OEM number or a verified Subaru supersession.,"Confirm same BG wagon body style, LHD/RHD where relevant, side, color/trim, and OEM number.",,,,
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,801506040,SCREW-COUNTERSUNK HEAD,08,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,B50604,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11831AA080,COVER-OIL SEPARATOR,01,02.1997 - 03.1998,EJ18E +EJ20E +EJ25D,-E/#2213361,11831,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
