section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,415,DIFFERENTIAL MOUNTING,0235S,self lock nut,023512000,,,,,,,,
body,415,DIFFERENTIAL MOUNTING,0101S,FLANGE BOLT-PILOT,010110200,,,,,,,,
body,415,DIFFERENTIAL MOUNTING,0101S,FLANGE BOLT-PILOT,010108200,,,,,,,,
body,415,DIFFERENTIAL MOUNTING,0101S,FLANGE BOLT-PILOT,010110250,,,,,,,,
body,415,DIFFERENTIAL MOUNTING,0217S,NUT,021708000,,,,,,,,
body,415,DIFFERENTIAL MOUNTING,0235S,self lock nut,023508000,,,,,,,,
body,415,DIFFERENTIAL MOUNTING,0320S,SPRING WASHER,032008000,,,,,,,,
body,415,DIFFERENTIAL MOUNTING,41310,DIFFERENTIAL MEMBER ASSEMBLY-FRONT,41310FA070,01,01.06.1997 - 30.11.1998,,,,F4W.(EJ18E+EJ20#+EJ25D),,
body,415,DIFFERENTIAL MOUNTING,41325,STOPPER-DIFFERENTIAL MOUNTING,41324AC040,02,01.06.1997 - 30.11.1998,,,,F4W.(EJ18E+EJ20#) +25T#.EJ25D,,
body,415,DIFFERENTIAL MOUNTING,41326A,BUSHING ASSEMBLY-DIFFERENTIAL MOUNTING R,41322AC040,02,01.06.1997 - 30.11.1998,,,,F4W.(EJ18E+EJ20#+EJ25D),,
body,415,DIFFERENTIAL MOUNTING,41331A,"BRACKET-DIFFERENTIAL MEMBER,FRONT",41321FA040,02,01.06.1997 - 30.11.1998,,,,F4W.(EJ18E+EJ20#) +25T#.EJ25D,,
body,415,DIFFERENTIAL MOUNTING,41331C,BRACKET-DIFFERENTIAL MOUNTING RIGHT,41321AC070,01,01.06.1997 - 30.11.1998,,,,F4W.(EJ18E+EJ20E+EJ20D),,
body,415,DIFFERENTIAL MOUNTING,41331D,BRACKET-DIFFERENTIAL MOUNTING LEFT,41321AC090,01,01.06.1997 - 30.11.1998,,,,F4W.(EJ18E+EJ20E+EJ20D),,
body,415,DIFFERENTIAL MOUNTING,41366,COVER-DIFFERENTIAL MEMBER,41325AC051,01,01.06.1997 - 30.11.1998,,,,F4W.(EJ18E+EJ20#+EJ25D),,
body,415,DIFFERENTIAL MOUNTING,41374,PLATE COMPLETE-DIFFERENTIAL MEMBER,41323AA001,02,01.06.1997 - 30.11.1998,,,,F4W.(EJ18E+EJ20#+EJ25D),,41323AA002 ITCA part is available
body,415,DIFFERENTIAL MOUNTING,41386,"FLANGE BOLT-DIFFERENTIAL MEMBER,REAR",41332AA010,02,01.06.1997 - 30.11.1998,,,,F4W.(EJ18E+EJ20#) +25T#.EJ25D,,41332FA000 ITCA part is available
body,415,DIFFERENTIAL MOUNTING,M000164,FLANGE BOLT,901000164,06,01.06.1997 - 30.11.1998,,,,F4W.(EJ18E+EJ20#+EJ25D),,
