section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,521,SIDE BODY INNER,51510,"REAR QUARTER COMPLETE-INNER,RIGHT",51510AC301,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51510A,"REAR QUARTER COMPLETE-INNER,LEFT",51510AC311,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51520,"PILLAR COMPLETE-FRONT,INNER UPPER RIGHT",51530AC060,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51520A,"PILLAR COMPLETE-FRONT,INNER UPPER LEFT",51530AC070,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51522,"PILLAR-FRONT,INNER LOWER RIGHT",51530AC020,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51522A,"PILLAR-FRONT,INNER LOWER LEFT",51530AC030,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51526,"SIDE RAIL-INNER,RIGHT",51515AC021,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51526A,"SIDE RAIL-INNER,LEFT",51515AC031,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51530,"PILLAR COMPLETE-CENTER,INNER RIGHT",51520AC062,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51530A,"PILLAR COMPLETE-CENTER,INNER LEFT",51520AC072,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51530B,"PILLAR COMPLETE-CENTER,INNER UPPER RIGHT",51520AC080,01,01.06.1997 - 30.11.1998,,,,*W.BRIGLD.N/S +W.GT.AT +W.(GTB+25T#),S-A/B-less,
body,521,SIDE BODY INNER,51530B,"PILLAR COMPLETE-CENTER,INNER UPPER RIGHT",51520AC221,01,01.06.1997 - 30.11.1998,,,,*W.BRIGLD.N/S +W.GT.AT +W.(GTB+25T#),S-A/B,
body,521,SIDE BODY INNER,51530C,"PILLAR COMPLETE-CENTER,INNER UPPER LEFT",51520AC090,01,01.06.1997 - 30.11.1998,,,,*W.BRIGLD.N/S +W.GT.AT +W.(GTB+25T#),S-A/B-less,
body,521,SIDE BODY INNER,51530C,"PILLAR COMPLETE-CENTER,INNER UPPER LEFT",51520AC231,01,01.06.1997 - 30.11.1998,,,,*W.BRIGLD.N/S +W.GT.AT +W.(GTB+25T#),S-A/B,
body,521,SIDE BODY INNER,51572,"REINFORCEMENT-SIDE SILL INNER,RIGHT",51572AC121,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51572A,"REINFORCEMENT-SIDE SILL INNER,LEFT",51572AC131,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51574,COWLING PANEL-SIDE RIGHT,51564AC000,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51574A,COWLING PANEL-SIDE LEFT,51564AC010,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51650,"WHEEL APRON COMPLETE-REAR,RIGHT",51600AC020,01,01.06.1997 - 30.11.1998,,,,W,,
body,521,SIDE BODY INNER,51650A,"WHEEL APRON COMPLETE-REAR,LEFT",51600AC030,01,01.06.1997 - 30.11.1998,,,,W,,
