section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,901,WEATHER STRIP,61067B,SCREW GROMMET,62731FA000,32,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,61226A,"RETAINER-CENTER,RIGHT",62722AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,61226B,"RETAINER-CENTER,LEFT",62722AC010,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,61226C,"RETAINER AND MOLDING ASSEMBLY,RIGHT",62720AC100,01,01.06.1997 - 30.11.1998,,,,W,,
body,901,WEATHER STRIP,61226D,"RETAINER AND MOLDING ASSEMBLY,LEFT",62720AC110,01,01.06.1997 - 30.11.1998,,,,W,,
body,901,WEATHER STRIP,63511,"WEATHER STRIP-FRONT DOOR,RIGHT",62711AC100,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,63511A,"WEATHER STRIP-FRONT DOOR,LEFT",62711AC110,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,63512,"WEATHER STRIP-REAR DOOR,RIGHT",63711AC100,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,63512A,"WEATHER STRIP-REAR DOOR,LEFT",63711AC110,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,63516,WEATHER STRIP-REAR GATE,62714AC020,01,01.06.1997 - 30.11.1998,,,,W,,
body,901,WEATHER STRIP,63521,"WEATHER STRIP-ROOF FRONT,RIGHT",62710AC100,01,01.06.1997 - 30.11.1998,,,,W,,
body,901,WEATHER STRIP,63521A,"WEATHER STRIP-ROOF FRONT,LEFT",62710AC110,01,01.06.1997 - 30.11.1998,,,,W,,
body,901,WEATHER STRIP,63562,clip,90331AC010,08,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,63562C,CLIP-WEATHER STRIP,90331AA040,32,01.06.1997 - 30.11.1998,,,,S +W,RH,90331AA050 ITCA part is available
body,901,WEATHER STRIP,63562C,CLIP-WEATHER STRIP,90331AA050,32,01.06.1997 - 30.11.1998,,,,S +W,LH,
body,901,WEATHER STRIP,63562E*A,CLIP-WEATHER STRIP,90331GA090,08,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,63562E*B,CLIP-WEATHER STRIP,90331GA110,22,01.06.1997 - 30.11.1998,,,,S +W,,90331GA090 ITCA part is available
body,901,WEATHER STRIP,Q51001,TAPPING SCREW-TRUSS HEAD,904510010,46,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,Q510043,TAPPING SCREW-TRUSS HEAD,904510043,02,01.06.1997 - 30.11.1998,,,,S +W,,
body,901,WEATHER STRIP,W300033,SCREW GROMMET,909300033,02,01.06.1997 - 30.11.1998,,,,S +W,,
