section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,912,REAR VIEW MIRROR,0471S,TAPPING SCREW-PAN FLANGE HEAD,047105100,,,,,,,,
body,912,REAR VIEW MIRROR,91031,"MIRROR ASSEMBLY-DOOR,RIGHT",91031AC220FM,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(TXS+BRIGLD) +W.F4W.(TXS+BRIGLD+TSR).AT,,91031AC222FM ITCA part is available
body,912,REAR VIEW MIRROR,91031,"MIRROR ASSEMBLY-DOOR,RIGHT",91031AC220IB,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(TXS+BRIGLD+TSR).AT +S.RS +W.F4W.(TXS+BRIGLD+TSR).AT,,91031AC222IB ITCA part is available
body,912,REAR VIEW MIRROR,91031,"MIRROR ASSEMBLY-DOOR,RIGHT",91031AC220SG,01,01.06.1997 - 30.11.1998,,,,*S.F4W.BRIGLD +W.F4W.(BRI#+TSR).AT,,91031AC222SG ITCA part is available
body,912,REAR VIEW MIRROR,91031,"MIRROR ASSEMBLY-DOOR,RIGHT",91031AC220UF,01,01.06.1997 - 30.11.1998,,,,*S.RS +W.F4W.BRIGLD,,91031AC222UF ITCA part is available
body,912,REAR VIEW MIRROR,91031,"MIRROR ASSEMBLY-DOOR,RIGHT",91031AC270FM,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(TXS+BRIGLD) +W.F4W.(TXS+BRIGLD+TSR).AT,,91031AC272FM ITCA part is available
body,912,REAR VIEW MIRROR,91031,"MIRROR ASSEMBLY-DOOR,RIGHT",91031AC270IB,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(TXS+BRIGLD+TSR).AT +S.RS +W.F4W.(TXS+BRIGLD+TSR).AT,,91031AC272IB ITCA part is available
body,912,REAR VIEW MIRROR,91031,"MIRROR ASSEMBLY-DOOR,RIGHT",91031AC270SG,01,01.06.1997 - 30.11.1998,,,,*S.F4W.BRIGLD +W.F4W.(BRI#+TSR).AT,,91031AC272SG ITCA part is available
body,912,REAR VIEW MIRROR,91031,"MIRROR ASSEMBLY-DOOR,RIGHT",91031AC270UF,01,01.06.1997 - 30.11.1998,,,,*S.RS +W.F4W.BRIGLD,,91031AC272UF ITCA part is available
body,912,REAR VIEW MIRROR,91031A,"MIRROR ASSEMBLY-DOOR,LEFT",91031AC230FM,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(TXS+BRIGLD) +W.F4W.(TXS+BRIGLD+TSR).AT,,91031AC232FM ITCA part is available
body,912,REAR VIEW MIRROR,91031A,"MIRROR ASSEMBLY-DOOR,LEFT",91031AC230IB,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(TXS+BRIGLD+TSR).AT +S.RS +W.F4W.(TXS+BRIGLD+TSR).AT,,91031AC232IB ITCA part is available
body,912,REAR VIEW MIRROR,91031A,"MIRROR ASSEMBLY-DOOR,LEFT",91031AC230SG,01,01.06.1997 - 30.11.1998,,,,*S.F4W.BRIGLD +W.F4W.(BRI#+TSR).AT,,91031AC232SG ITCA part is available
body,912,REAR VIEW MIRROR,91031A,"MIRROR ASSEMBLY-DOOR,LEFT",91031AC230UF,01,01.06.1997 - 30.11.1998,,,,*S.RS +W.F4W.BRIGLD,,91031AC232UF ITCA part is available
body,912,REAR VIEW MIRROR,91031A,"MIRROR ASSEMBLY-DOOR,LEFT",91031AC280FM,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(TXS+BRIGLD) +W.F4W.(TXS+BRIGLD+TSR).AT,,91031AC282FM ITCA part is available
body,912,REAR VIEW MIRROR,91031A,"MIRROR ASSEMBLY-DOOR,LEFT",91031AC280IB,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(TXS+BRIGLD+TSR).AT +S.RS +W.F4W.(TXS+BRIGLD+TSR).AT,,91031AC282IB ITCA part is available
