section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,915,MOLDING,0237S,FLANGE NUT,023705000,,,,,,,,
body,915,MOLDING,91046D,"MOULDING-ROOF REAR,RIGHT",91011AC080,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91046E,"MOULDING-ROOF REAR,LEFT",91011AC090,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91046O,"MOULDING-REAR QUARTER WINDOW,RIGHT",91011AC100,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91046P,"MOULDING-REAR QUARTER WINDOW,LEFT",91011AC110,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91067E,"END CAP-REAR QUARTER FRONT,RIGHT",91014AC080,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91067F,"END CAP-REAR QUARTER FRONT,LEFT",91014AC090,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91067G,"END CAP-REAR QUARTER REAR,RIGHT",91014AC100,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91067H,"END CAP-REAR QUARTER REAR,LEFT",91014AC110,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91077,"GUIDE-MOULDING,RIGHT",91013AC000,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91077A,"GUIDE-MOULDING,LEFT",91013AC010,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91084X,"CLIP-PIN,F",91167AA110,08,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91085*A,PIN-MOULDING,91014AC020,06,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91085*B,PIN-MOULDING,91014AC030,02,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91141B,"COVER-D PILLAR,RIGHT",91012AC000,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91141C,"COVER-D PILLAR,LEFT",91012AC010,01,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91182,cap nut,91014AC050,08,01.06.1997 - 30.11.1998,,,,W,,
body,915,MOLDING,91184,SCREW GROMMET,791017900,04,01.06.1997 - 30.11.1998,,,,W,,
