section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,922,ROOF RAIL,0474S,TAPPING SCREW-HEXAGON FLANGE HEAD,047406120,,,,,,,,
body,922,ROOF RAIL,91084,clip,91017GA400,06,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91151,ROOF RAIL ASSEMBLY-RIGHT,91091AC061,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91151A,ROOF RAIL ASSEMBLY-LEFT,91091AC071,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91160,"CUSHION-ROOF RAIL,FRONT RIGHT",91094AC001,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91160A,"CUSHION-ROOF RAIL,FRONT LEFT",91094AC011,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91160B,"CUSHION-ROOF RAIL,CENTER RIGHT",91094AC081,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91160C,"CUSHION-ROOF RAIL,CENTER LEFT",91094AC091,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91160D,"CUSHION-ROOF RAIL,REAR RIGHT",91094AC041,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91160E,"CUSHION-ROOF RAIL,REAR LEFT",91094AC051,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91165A,"BRACKET-ROOF RAIL,FRONT RIGHT",91096AC000,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91165B,"BRACKET-ROOF RAIL,FRONT LEFT",91096AC010,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91165C,"BRACKET-ROOF RAIL,CENTER RIGHT",91096AC020,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91165D,"BRACKET-ROOF RAIL,CENTER LEFT",91096AC030,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91165E,"BRACKET-ROOF RAIL,REAR RIGHT",91096AC040,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91165F,"BRACKET-ROOF RAIL,REAR LEFT",91096AC050,01,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91186*A,WASHER-ROOF RAIL,91094AC061,04,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,91186*B,WASHER-ROOF RAIL,91094AC071,02,01.06.1997 - 30.11.1998,,,,W,,
body,922,ROOF RAIL,N370025,FLANGE NUT,902370025,10,01.06.1997 - 30.11.1998,,,,W,,
