section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,930,CONSOLE BOX,0465S,TAPPING SCREW-COUNTERSUNK HEAD,046504160,,,,,,,,
body,930,CONSOLE BOX,0250S,SPRING NUT,025005000,,,,,,,,
body,930,CONSOLE BOX,0452S,TAPPING SCREW-TRUSS HEAD,045204160,,,,,,,,
body,930,CONSOLE BOX,0450S,TAPPING SCREW-TRUSS HEAD,045005203,,,,,,,,
body,930,CONSOLE BOX,0237S,FLANGE NUT,023706000,,,,,,,,
body,930,CONSOLE BOX,0486S,FLANGE TAPPING SCREW,048605203,,,,,,,,
body,930,CONSOLE BOX,0451S,TAPPING SCREW-TRUSS HEAD,045104120,,,,,,,,
body,930,CONSOLE BOX,0454S,TAPPING SCREW-PAN HEAD,045404100,,,,,,,,
body,930,CONSOLE BOX,0451S,TAPPING SCREW-TRUSS HEAD,045104100,,,,,,,,
body,930,CONSOLE BOX,0471S,TAPPING SCREW-PAN FLANGE HEAD,047105123,,,,,,,,
body,930,CONSOLE BOX,0471S,TAPPING SCREW-PAN FLANGE HEAD,047105120,,,,,,,,
body,930,CONSOLE BOX,0454S,TAPPING SCREW-PAN HEAD,045404063,,,,,,,,
body,930,CONSOLE BOX,91612P,LABEL-SHIFT LOCK,91518KA310,01,01.06.1997 - 30.11.1998,,,,S.AT +W.AT,,
body,930,CONSOLE BOX,92111,CONSOLE BOX ASSEMBLY,92060AC000ML,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#+TSR+RS+25T) +W.(LX+TXS+BRI#+TSR+GT#+25TB+LAN) +W.25T.A/S,,
body,930,CONSOLE BOX,92114,LID ASSEMBLY-CONSOLE BOX,92063AC010ML,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#+TSR+RS+25T) +W.(LX+TXS+BRI#+TSR+GT#+25TB+LAN) +W.25T.A/S,,
body,930,CONSOLE BOX,92117,HINGE-CONSOLE BOX LID,92091AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,930,CONSOLE BOX,92171A,ARM COMPLETE-STOPPER,92092AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,930,CONSOLE BOX,92172,"ASH TRAY-CONSOLE BOX,REAR",92075AC020ML,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,930,CONSOLE BOX,92174*A,POCKET-CONSOLE BOX,92062AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,930,CONSOLE BOX,92178B,"BRACKET-CONSOLE,REAR",92080AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,930,CONSOLE BOX,92178F,BRACKET-ASH TRAY,92076FA000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,930,CONSOLE BOX,92184,LOCK COMPLETE-CONSOLE BOX,92063AA000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,930,CONSOLE BOX,92185,STOPPER-LID,92066AA000,02,01.06.1997 - 30.11.1998,,,,S +W,,
body,930,CONSOLE BOX,92188,SPRING-ASH TRAY,92076FA010,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,930,CONSOLE BOX,N37003,FLANGE NUT,902370030,03,01.06.1997 - 30.11.1998,,,,S +W,,
body,930,CONSOLE BOX,92132A,COVER-CONSOLE UPPER REAR,92070AC100,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRIGLD+TSR) +S.RS.AT +W.(LX+TXS+BRIGLD+TSR) +W.(GTB+GTBLTD+LAN#).AT,,
body,930,CONSOLE BOX,92168,SPEED NUT,92094AC000,04,01.06.1997 - 30.11.1998,,,,S +W.(EJ18E+EJ20#) +W.N/S.EJ25D,,
body,930,CONSOLE BOX,92174*B,POCKET-CONSOLE BOX,92062AC020,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRIGLD+TSR) +S.RS.AT +W.(LX+TXS+BRIGLD+TSR) +W.(GTB+GTBLTD+LAN#).AT,,
body,930,CONSOLE BOX,92175,STRIP-CONSOLE BOX,92082AC000,01,01.06.1997 - 30.11.1998,,,,S +W.(EJ18E+EJ20#) +W.N/S.EJ25D,,
body,930,CONSOLE BOX,92178D,BRACKET-CONSOLE STRIP,92080AC010,01,01.06.1997 - 30.11.1998,,,,S +W.(EJ18E+EJ20#) +W.N/S.EJ25D,,
