section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,931,ROOM INNER PARTS,0473S,TAPPING SCREW-PAN HEAD,047305163,,,,,,,,
body,931,ROOM INNER PARTS,0463S,TAPPING SCREW-COUNTERSUNK HEAD,046305200,,,,,,,,
body,931,ROOM INNER PARTS,0474S,TAPPING SCREW-HEXAGON FLANGE HEAD,047406120,,,,,,,,
body,931,ROOM INNER PARTS,0471S,TAPPING SCREW-PAN FLANGE HEAD,047106200,,,,,,,,
body,931,ROOM INNER PARTS,92011,SUN VISOR ASSEMBLY-RIGHT,92010AC501MS,01,01.06.1997 - 31.08.1997,,,,*S.F4W.LX +S.(TXS+BRIGLD+TSR+RS+GT+25T) +W,,92010AC550MS ITCA part is available
body,931,ROOM INNER PARTS,92011,SUN VISOR ASSEMBLY-RIGHT,92010AC550MS,01,01.09.1997 - 30.11.1998,,,,*S.F4W.LX +S.(TXS+BRIGLD+TSR+RS+GT+25T) +W,,
body,931,ROOM INNER PARTS,92011A,SUN VISOR ASSEMBLY-LEFT,92010AC130MS,01,01.06.1997 - 30.11.1998,,,,*S.(BRIGLD+TSR+GT+25T) +W.(BRIGLD+TSR+GT#+25T#+LAN#),,
body,931,ROOM INNER PARTS,92011A,SUN VISOR ASSEMBLY-LEFT,92010AC530MS,01,01.06.1997 - 31.08.1997,,,,*S.(BRIGLD+TSR+GT+25T) +W.(BRIGLD+TSR+GT#+25T#+LAN#),,92010AC570MS ITCA part is available
body,931,ROOM INNER PARTS,92011A,SUN VISOR ASSEMBLY-LEFT,92010AC570MS,01,01.09.1997 - 30.11.1998,,,,*S.(BRIGLD+TSR+GT+25T) +W.(BRIGLD+TSR+GT#+25T#+LAN#),,
body,931,ROOM INNER PARTS,92018,HOOK-SUN VISOR,92040AC000MS,02,01.06.1997 - 30.11.1998,,,,*S.F4W.LX +S.(TXS+BRIGLD+TSR+RS+GT+25T) +W,,
body,931,ROOM INNER PARTS,92021K,"MIRROR KIT-REAR VIEW,INNER",X9201AA090,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,931,ROOM INNER PARTS,92031,HANGER-COAT,92022FA000MS,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#+TSR+GT) +W,,
body,931,ROOM INNER PARTS,92041,ASSIST RAIL,92033AC000MS,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#+TSR+GT) +W,F.LH,
body,931,ROOM INNER PARTS,92041,ASSIST RAIL,92040FA000MS,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#+TSR+GT) +W,R.LH,
body,931,ROOM INNER PARTS,92041,ASSIST RAIL,92040FA010MS,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#+TSR+GT) +W,R.RH,
body,931,ROOM INNER PARTS,92073G,"CAP-REAR VIEW MIRROR,INNER",92031FA000MS,01,01.06.1997 - 30.11.1998,,,,S +W,,92031FA000MK Available together with other parts
