section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,940,INNER TRIM,0487S,FLANGE TAPPING SCREW,048704120,,,,,,,,
body,940,INNER TRIM,0451S,TAPPING SCREW-TRUSS HEAD,045105163,,,,,,,,
body,940,INNER TRIM,94010B,"TRIM PANEL-A PILLAR,UPPER RIGHT",94010AC000MU,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD),,
body,940,INNER TRIM,94010C,"TRIM PANEL-A PILLAR,UPPER LEFT",94010AC010MU,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD),,
body,940,INNER TRIM,94012B,"TRIM PANEL-B PILLAR UPPER,RIGHT",94012AC000MU,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD),,
body,940,INNER TRIM,94012C,"TRIM PANEL-B PILLAR UPPER,LEFT",94012AC010MU,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD),,
body,940,INNER TRIM,94013B,"TRIM PANEL-C PILLAR UPPER,RIGHT",94013AC000MU,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD),,
body,940,INNER TRIM,94013C,"TRIM PANEL-C PILLAR UPPER,LEFT",94013AC010MU,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD),,
body,940,INNER TRIM,94015,"TRIM PANEL-D PILLAR UPPER,RIGHT",94015AC000MU,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD),,
body,940,INNER TRIM,94015A,"TRIM PANEL-D PILLAR UPPER,LEFT",94015AC010MU,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD),,
body,940,INNER TRIM,94036,REAR RAIL-TRIM PANEL,94016AC000MU,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD),,
body,940,INNER TRIM,94050A,"GARNISH-FRONT,RIGHT",94055AC000,01,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94050B,"GARNISH-FRONT,LEFT",94055AC010,01,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94051C,"GARNISH-SIDE,REAR",94055AC100,02,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94071A*A,"clip, trim",94019AC010,02,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94071A*B,"clip, trim",94019AC210,02,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94071B*A,"clip, trim",94019AC000,38,01.06.1997 - 30.11.1998,,,,W,,94019AC100 ITCA part is available
body,940,INNER TRIM,94071B*B,"clip, trim",94019AC400,02,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94071C,"clip, trim",94019AC020,02,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94071P*A,"clip, trim",94099AA090,06,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94071U*A,CLIP-COVER SIDE SILL,94062AC000,24,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94273,SCREW GROMMET,661179000,05,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94310,"TRIM PANEL-REAR GATE,UPPER",94017AC000MU,01,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94311C,TRIM PANEL-REAR GATE SIDE RIGHT,94017AC020MU,01,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94311D,TRIM PANEL-REAR GATE SIDE LEFT,94017AC030MU,01,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94382B,BASE CLIP-A,94019AC900,02,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94382C,BASE CLIP-B,94019AC910,02,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,65585,CLIP-REAR LUGGAGE SHELF,765548180,02,01.06.1997 - 30.11.1998,,,,W,,
body,940,INNER TRIM,94022,"TRIM PANEL-B PILLAR LOWER,RIGHT",94022AC001ML,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD),,94022AC021ML Only ITCA part is available
