section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,941,DOOR TRIM,0451S,TAPPING SCREW-TRUSS HEAD,045104120,,,,,,,,
body,941,DOOR TRIM,0431S,SCREW-PAN HEAD,043105080,,,,,,,,
body,941,DOOR TRIM,0487S,FLANGE TAPPING SCREW,048704120,,,,,,,,
body,941,DOOR TRIM,0451S,TAPPING SCREW-TRUSS HEAD,045105203,,,,,,,,
body,941,DOOR TRIM,0451S,TAPPING SCREW-TRUSS HEAD,045106203,,,,,,,,
body,941,DOOR TRIM,0450S,TAPPING SCREW-TRUSS HEAD,045005253,,,,,,,,
body,941,DOOR TRIM,61282A,"WEATHER STRIP-DOOR,FRONT INNER RIGHT",62712AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,61282B,"WEATHER STRIP-DOOR,FRONT INNER LEFT",62712AC010,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,63511B,WEATHER STRIP-FRONT DOOR LOWER RIGHT,62715AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,63511C,WEATHER STRIP-FRONT DOOR LOWER LEFT,62715AC010,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94213,"TRIM PANEL-FRONT DOOR,RIGHT",94215AC002ML,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94213A,"TRIM PANEL-FRONT DOOR,LEFT",94215AC012ML,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94214,"TRIM PANEL-FRONT DOOR CENTER,RIGHT",94217AC200ML,01,01.06.1997 - 30.11.1998,,,,S.BRI# +W.BRI#,,
body,941,DOOR TRIM,94214A,"TRIM PANEL-FRONT DOOR CENTER,LEFT",94217AC210ML,01,01.06.1997 - 30.11.1998,,,,S.BRI# +W.BRI#,,
body,941,DOOR TRIM,94236,"COVER-REMOTE FRONT DOOR,RIGHT",94237AC100ML,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94236A,"COVER-REMOTE FRONT DOOR,LEFT",94237AC110ML,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94237,"GRIP-FRONT DOOR,RIGHT",94238AC000ML,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94237A,"GRIP-FRONT DOOR,LEFT",94238AC010ML,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94251,COVER-GUSSET DOOR RH,94251AC000ML,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94251A,COVER-GUSSET DOOR LH,94251AC010ML,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94253,PLATE RH,94253AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94253A,PLATE LH,94253AC010,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,941,DOOR TRIM,94255,"POCKET-DOOR,RIGHT",94256AC020ML,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(BRIGLD+GT) +W.F4W.(BRIGLD+GT+25T+LANLTD).N/S,,
body,941,DOOR TRIM,94255A,"POCKET-DOOR,LEFT",94256AC030ML,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(BRIGLD+GT) +W.F4W.(BRIGLD+GT+25T+LANLTD).N/S,,
body,941,DOOR TRIM,94256,"STEP LAMP ASSEMBLY-FRONT DOOR,RIGHT",94257AC000,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(BRIGLD+GT) +W.F4W.(BRIGLD+GT+25T+LANLTD).N/S,,
body,941,DOOR TRIM,94256A,"STEP LAMP ASSEMBLY-FRONT DOOR,LEFT",94257AC010,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(BRIGLD+GT) +W.F4W.(BRIGLD+GT+25T+LANLTD).N/S,,
