section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,950,MAT,0451S,TAPPING SCREW-TRUSS HEAD,045105163,,,,,,,,
body,950,MAT,0450S,TAPPING SCREW-TRUSS HEAD,045006160,,,,,,,,
body,950,MAT,95011,MAT-FLOOR,95010AC030MJ,01,01.06.1997 - 30.11.1998,,,,*W.(BRIGLD+TSR),,
body,950,MAT,95011,MAT-FLOOR,95010AC130MJ,01,01.06.1997 - 30.11.1998,,,,*W.(BRIGLD+TSR),,
body,950,MAT,95080C*B,CLIP-FLOOR MAT,95022AC010,07,01.06.1997 - 30.09.1997,,,,*S.F4W.LX +S.(TXS+BRIGLD+TSR+RS+GT+25T) +W,,
body,950,MAT,95080C*B,CLIP-FLOOR MAT,95033FC030OE,07,01.10.1997 - 30.11.1998,,,,*S.F4W.LX +S.(TXS+BRIGLD+TSR+RS+GT+25T) +W,,
body,950,MAT,95080D,CLIP A-MAT FLOOR,94099AA000ML,02,01.06.1997 - 30.09.1997,,,,*S.F4W.LX +S.(TXS+BRIGLD+TSR+RS+GT+25T) +W,,94099AA000OE ITCA part is available
body,950,MAT,95080D,CLIP A-MAT FLOOR,94099AA000OE,02,01.10.1997 - 30.11.1998,,,,*S.F4W.LX +S.(TXS+BRIGLD+TSR+RS+GT+25T) +W,,
body,950,MAT,95080E,CLIP-MAT FLOOR,94099AA270ML,02,01.06.1997 - 30.09.1997,,,,*S.F4W.LX +S.(TXS+BRIGLD+TSR+RS+GT+25T) +W,,94099AA270OE ITCA part is available
body,950,MAT,95080E,CLIP-MAT FLOOR,94099AA270OE,02,01.10.1997 - 30.11.1998,,,,*S.F4W.LX +S.(TXS+BRIGLD+TSR+RS+GT+25T) +W,,
body,950,MAT,91184,SCREW GROMMET,91084AA010,02,01.06.1997 - 30.11.1998,,,,W,,
body,950,MAT,95064,BRACKET-REAR FLOOR,95035AC000,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD+TSR+GT#+25T#),,
body,950,MAT,95065,"MAT-REAR FLOOR,FRONT",95016AC010MJ,01,01.06.1997 - 30.11.1998,,,,W.(BRIGLD+TSR+GT#+25T#+LAN#),,
body,950,MAT,95066,"MAT-REAR FLOOR,CENTER",95016AC210MJ,01,01.06.1997 - 30.11.1998,,,,W.(BRIGLD+TSR+GT#+25T#),,
body,950,MAT,95067,"MAT-REAR FLOOR,SIDE RIGHT",95016AC140MJ,01,01.06.1997 - 30.11.1998,,,,W.(BRIGLD+TSR+GT#+25T#+LAN#),,
body,950,MAT,95067A,"MAT-REAR FLOOR,SIDE LEFT",95016AC150MJ,01,01.06.1997 - 30.11.1998,,,,W.(BRIGLD+TSR+GT#+25T#+LAN#),,95016AC130MJ ITCA part is available with modification
body,950,MAT,95070,COVER-REAR FLOOR,95025AC000,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD+TSR+LAN#),,95025AC010 ITCA part is available
body,950,MAT,95070B,"COVER-HOOK,REAR FLOOR FRONT",95045AC050ML,02,01.06.1997 - 30.11.1998,,,,W.(TXS+BRIGLD+TSR+GT#+25T#+LAN#),,
body,950,MAT,95070C,"COVER-HOOK,REAR FLOOR REAR",95045AC020ML,02,01.06.1997 - 30.11.1998,,,,W.(TXS+BRIGLD+TSR+GT#+25T#+LAN#),,
body,950,MAT,95080*A,clip,95022AC040MJ,02,01.06.1997 - 30.11.1998,,,,W,,
body,950,MAT,95080*B,clip,95022AC050,02,01.06.1997 - 30.11.1998,,,,W,,
