section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,953,SILENCER,90711,"SILENCER-FRONT APRON,RIGHT",90711AC140,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,953,SILENCER,90711A,"SILENCER-FRONT APRON,LEFT",90711AC150,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,953,SILENCER,90712,"SILENCER-TUNNEL,FRONT",90711AC070,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#) +W.(LX+TXS+BRI#),,
body,953,SILENCER,90713,"SILENCER-FRONT FLOOR,RIGHT",90711AC080,02,01.06.1997 - 30.11.1998,,,,S +W,,
body,953,SILENCER,90713B,"SILENCER-FRONT FLOOR REAR,RIGHT",90711AC010,02,01.06.1997 - 30.11.1998,,,,S +W,,
body,953,SILENCER,90722,"SILENCER-TUNNEL,REAR",90711AC000,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#) +W.(LX+TXS+BRI#),,
body,953,SILENCER,90723A,"SILENCER-REAR FLOOR,FRONT",90711AC110,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,953,SILENCER,90723B,"silencer,rear floor rear",90711AC040,01,01.06.1997 - 30.11.1998,,,,S +W,,90711AC590 ITCA part is available
body,953,SILENCER,90723C,"SILENCER-REAR FLOOR,RIGHT",90711AC120,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,953,SILENCER,90723D,"SILENCER-REAR FLOOR,LEFT",90711AC130,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,953,SILENCER,90723E,"SILENCER-REAR FLOOR SEAT,RIGHT",90711AC170,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,953,SILENCER,90723F,"SILENCER-REAR FLOOR SEAT,LEFT",90711AC180,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,953,SILENCER,90732,SILENCER-TUNNEL CENTER,90711AC440,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#) +W.(LX+TXS+BRI#),,
body,953,SILENCER,90767,SILENCER REAR,90711AC400,03,01.06.1997 - 30.11.1998,,,,W,,
