section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,970,TOOL KIT & JACK,0100S,FLANGE BOLT-PILOT,010008160,,,,,,,,
body,970,TOOL KIT & JACK,0474S,TAPPING SCREW-HEXAGON FLANGE HEAD,047406120,,,,,,,,
body,970,TOOL KIT & JACK,97010,TOOL KIT,97010AA030,01,01.06.1997 - 30.11.1998,,,,S.BRI# +W.BRI#,,97010AA000 ITCA part is available
body,970,TOOL KIT & JACK,97014,DRIVER-PLUS & MINUS,694003030,01,01.06.1997 - 30.11.1998,,,,S +W,,694003040 ITCA part is available
body,970,TOOL KIT & JACK,97015,PLUG WRENCH,97016AA000,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#) +W.(LX+TXS+BRI#),,
body,970,TOOL KIT & JACK,97017,WRENCH-WHEEL NUT,694005092,01,01.06.1997 - 30.11.1998,,,,S +W,,797014000 ITCA part is available
body,970,TOOL KIT & JACK,97032,JACK,97030FA070,01,01.06.1997 - 30.11.1998,,,,S +W.(LX+TXS+BRI#+TSR+GT#+25T#),,
body,970,TOOL KIT & JACK,97033,JACK HANDLE,97032AA000,01,01.06.1997 - 30.04.1998,,,,S +W,,97040AC010 ITCA part is available
body,970,TOOL KIT & JACK,97033,JACK HANDLE,97040AC010,01,01.05.1998 - 30.11.1998,,,,S +W,,
body,970,TOOL KIT & JACK,97047,SUPPORTER-TIRE HOLDER,97047AA010,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,970,TOOL KIT & JACK,97052,HOLDER ASSEMBLY-SPARE TIRE,97052AA001,01,01.06.1997 - 30.11.1998,,,,S +W,,97052FE000 ITCA part is available
body,970,TOOL KIT & JACK,W70081,SPANNER,909700810,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,970,TOOL KIT & JACK,W701214,SPANNER,909701214,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,970,TOOL KIT & JACK,W730001,PLIER,909730001,01,01.06.1997 - 30.11.1998,,,,S +W,,
