section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
electric,835,ELECTRICAL PARTS (BODY),0237S,FLANGE NUT,023706000,,,,,,,,
electric,835,ELECTRICAL PARTS (BODY),0451S,TAPPING SCREW-TRUSS HEAD,045104120,,,,,,,,
electric,835,ELECTRICAL PARTS (BODY),0471S,TAPPING SCREW-PAN FLANGE HEAD,047105120,,,,,,,,
electric,835,ELECTRICAL PARTS (BODY),0100S,FLANGE BOLT-PILOT,010006160,,,,,,,,
electric,835,ELECTRICAL PARTS (BODY),0450S,TAPPING SCREW-TRUSS HEAD,045005100,,,,,,,,
electric,835,ELECTRICAL PARTS (BODY),0455S,TAPPING SCREW-PAN HEAD,045505163,,,,,,,,
electric,835,ELECTRICAL PARTS (BODY),81988D,CLIP-RELAY HOLDER,81910AA150,04,01.06.1997 - 30.11.1998,,,,S +W,,
electric,835,ELECTRICAL PARTS (BODY),82501A,RELAY-HORN,82501AC070,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,835,ELECTRICAL PARTS (BODY),82501C,RELAY ASSEMBLY,82501GA240,04,01.06.1997 - 30.11.1998,,,,S +W,,
electric,835,ELECTRICAL PARTS (BODY),82501D*A,RELAY,82501AA060,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(LX+TXS+BRIGLD+TSR).AT +S.RS +W.F4W.(LX+TXS+BRIGLD+TSR),,
electric,835,ELECTRICAL PARTS (BODY),82501D*B,RELAY,82501AA130,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,835,ELECTRICAL PARTS (BODY),86011,HORN ASSEMBLY-LOW,86012PA001,01,01.06.1997 - 30.11.1998,,,,S +W,,86011AC020 ITCA part is available
electric,835,ELECTRICAL PARTS (BODY),86011A,HORN ASSEMBLY-HIGH,86012AA011,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,835,ELECTRICAL PARTS (BODY),86111,TURN & HAZARD UNIT,86111FA000,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,835,ELECTRICAL PARTS (BODY),86571,INTERMITTENT ASSEMBLY-WIPER CONTROL,86571AC000,01,01.06.1997 - 30.11.1998,,,,W.(BRIGLD+TSR+GT#+25T#+LAN#),,
electric,835,ELECTRICAL PARTS (BODY),88007,TIMER ASSEMBLLY-WIPER DE-ICER,88017AC000,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(LX+TXS+BRIGLD+TSR).AT +S.RS +W.F4W.(LX+TXS+BRIGLD+TSR),,
electric,835,ELECTRICAL PARTS (BODY),88013,CONTROL UNIT-BELT,88013AC050,01,01.06.1997 - 30.11.1998,,,,S.(BRIGLD+TSR+RS+GT+25T) +W.(BRIGLD+TSR+GT#+25T#+LAN),,
electric,835,ELECTRICAL PARTS (BODY),88083,SHIFT LOCK UNIT-RIGHT,88083AC000,01,01.06.1997 - 30.11.1998,,,,S.AT +W.AT,,
electric,835,ELECTRICAL PARTS (BODY),89010,fusee assembly,89010TA000,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,835,ELECTRICAL PARTS (BODY),89020,"holder, fusee",89010KA001,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,835,ELECTRICAL PARTS (BODY),90371V,"PLUG,25",690302530,01,01.06.1997 - 30.11.1998,,,,*S.F4W.(LX+TXS+BRIGLD+TSR+RS) +W.F4W.(LX+TXS+BRIGLD+TSR),,
electric,835,ELECTRICAL PARTS (BODY),M060002,bolt,901060002,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,835,ELECTRICAL PARTS (BODY),W230011,GROMMET SEAT,909230011,01,01.06.1997 - 30.11.1998,,,,S +W.N/S,,909230044 ITCA part is available
electric,835,ELECTRICAL PARTS (BODY),85082,SPEED SENSOR ASSEMBLY,85082AC002,01,01.06.1997 - 30.11.1998,,,,S.AT +W.AT,,
electric,835,ELECTRICAL PARTS (BODY),88051*A,THERMO SENSOR,88051FA020,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI#+TSR) +W.(LX+TXS+BRI#+TSR),,
