section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
electric,840,HEAD LAMP,84001A*A,LAMP ASSEMBLY-HEAD RIGHT,84001AC160,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI+TSR) +W.(LX+TXS+BRI#+TSR+LAN),,
electric,840,HEAD LAMP,84001B*A,LAMP ASSEMBLY-HEAD LEFT,84001AC170,01,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI+TSR) +W.(LX+TXS+BRI#+TSR+LAN),,
electric,840,HEAD LAMP,84920*A,BULB-HEAD & FOG LIGHT,84920AA090,02,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI+TSR) +W.(LX+TXS+BRI#+TSR+LAN),,
electric,840,HEAD LAMP,84920A*A,BULB-FRONT COMBINATION LAMP,684102420,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,840,HEAD LAMP,84920A*B,BULB-FRONT COMBINATION LAMP,784920080,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,840,HEAD LAMP,84931*A,SOCKET COMPLETE-HEAD LAMP,84930AC000,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,840,HEAD LAMP,84931*B,SOCKET COMPLETE-HEAD LAMP,84930AC010,02,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI+TSR) +W.(LX+TXS+BRI#+TSR+LAN),,
electric,840,HEAD LAMP,84934,SPRING-HEAD LAMP,84934AC000,10,01.06.1997 - 30.11.1998,,,,S +W,,
electric,840,HEAD LAMP,84953A,COVER-HEAD LAMP RIGHT,84953AC000,02,01.06.1997 - 30.11.1998,,,,S.(LX+TXS+BRI+TSR) +W.(LX+TXS+BRI#+TSR+LAN),,
electric,840,HEAD LAMP,84986A,CLIP-FRONT COMBINATION LAMP,84965PA010,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,840,HEAD LAMP,84986C,CLIP-HEAD LAMP,84965AC060,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,840,HEAD LAMP,M120069,bolt and washer assembly,901120069,06,01.06.1997 - 30.11.1998,,,,S +W,,
