section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
electric,841,LAMP (FRONT),84401,"LAMP ASSEMBLY-SIDE TURN,RIGHT",84401AC040FM,01,01.06.1997 - 30.11.1998,,,,S.(BRI#+GT+25T) +W.(BRI#+TSR+GT#+25T#),,
electric,841,LAMP (FRONT),84401,"LAMP ASSEMBLY-SIDE TURN,RIGHT",84401AC040IB,01,01.06.1997 - 30.11.1998,,,,S.(BRI#+TSR+RS+GT+25T) +W.(BRI#+TSR+GT#+25T#),,
electric,841,LAMP (FRONT),84401,"LAMP ASSEMBLY-SIDE TURN,RIGHT",84401AC040SG,01,01.06.1997 - 30.11.1998,,,,S.(BRI#+GT+25T) +W.(BRI#+TSR+GT#+25T#),,
electric,841,LAMP (FRONT),84401,"LAMP ASSEMBLY-SIDE TURN,RIGHT",84401AC040UF,01,01.06.1997 - 30.11.1998,,,,S.(RS+GT) +W.(BRIGLD+GT#+25T#),,
electric,841,LAMP (FRONT),84401A,"LAMP ASSEMBLY-SIDE TURN,LEFT",84401AC050FM,01,01.06.1997 - 30.11.1998,,,,S.(BRI#+GT+25T) +W.(BRI#+TSR+GT#+25T#),,
electric,841,LAMP (FRONT),84401A,"LAMP ASSEMBLY-SIDE TURN,LEFT",84401AC050IB,01,01.06.1997 - 30.11.1998,,,,S.(BRI#+TSR+RS+GT+25T) +W.(BRI#+TSR+GT#+25T#),,
electric,841,LAMP (FRONT),84401A,"LAMP ASSEMBLY-SIDE TURN,LEFT",84401AC050SG,01,01.06.1997 - 30.11.1998,,,,S.(BRI#+GT+25T) +W.(BRI#+TSR+GT#+25T#),,
electric,841,LAMP (FRONT),84401A,"LAMP ASSEMBLY-SIDE TURN,LEFT",84401AC050UF,01,01.06.1997 - 30.11.1998,,,,S.(RS+GT) +W.(BRIGLD+GT#+25T#),,
electric,841,LAMP (FRONT),84920A,BULB-FRONT COMBINATION LAMP,784920080,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,841,LAMP (FRONT),84931F,SOCKET COMPLETE-SIDE TURN LAMP,84931AA130,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,841,LAMP (FRONT),84934A,SPRING-SIDE TURN LAMP,84934AC010,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,841,LAMP (FRONT),84983,tapping screw,84933AA020,02,01.06.1997 - 30.11.1998,,,,S +W,,
