section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
electric,843,LAMP (LICENSE),84301C,"LAMP ASSEMBLY-LICENSE,GARNISH",84301AC030,02,01.06.1997 - 30.11.1998,,,,W,,
electric,843,LAMP (LICENSE),84910E,LENS-LICENSE LAMP,84910AA080,02,01.06.1997 - 30.11.1998,,,,W,,
electric,843,LAMP (LICENSE),84920A,BULB-FRONT COMBINATION LAMP,784920080,02,01.06.1997 - 30.11.1998,,,,W,,
electric,843,LAMP (LICENSE),84927J,BRACKET-LICENSE LAMP,84927AC020,01,01.06.1997 - 30.11.1998,,,,W,,
electric,843,LAMP (LICENSE),84937,SPACER-LICENSE LAMP,84937AA010,02,01.06.1997 - 30.11.1998,,,,W,,
electric,843,LAMP (LICENSE),84940B,PACKING-LICENSE LAMP,84940AA030,02,01.06.1997 - 30.11.1998,,,,W,,
electric,843,LAMP (LICENSE),84953,"COVER-LENS,LICENSE LAMP",84953AA020,02,01.06.1997 - 30.11.1998,,,,W,,
electric,843,LAMP (LICENSE),84983,tapping screw,84933AA040,02,01.06.1997 - 30.11.1998,,,,W,,
electric,843,LAMP (LICENSE),Q575011,tapping screw,904575011,02,01.06.1997 - 30.11.1998,,,,W,,
electric,843,LAMP (LICENSE),W210220,SCREW GROMMET,909210220,02,01.06.1997 - 30.11.1998,,,,W,,
