section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
electric,845,LAMP (FOG),0217S,NUT,021706000,,,,,,,,
electric,845,LAMP (FOG),0312S,WASHER,031206006,,,,,,,,
electric,845,LAMP (FOG),0474S,TAPPING SCREW-HEXAGON FLANGE HEAD,047406166,,,,,,,,
electric,845,LAMP (FOG),0100S,FLANGE BOLT-PILOT,010006126,,,,,,,,
electric,845,LAMP (FOG),84501,FOG LIGHT ASSEMBLY-FRONT RIGHT,84501AC000,01,01.06.1997 - 30.11.1998,,,,S.(TXS+BRIGLD) +W.(TXS+BRIGLD),normal type,
electric,845,LAMP (FOG),84501A,FOG LIGHT ASSEMBLY-FRONT LEFT,84501AC010,01,01.06.1997 - 30.11.1998,,,,S.(TXS+BRIGLD) +W.(TXS+BRIGLD),normal type,
electric,845,LAMP (FOG),84920*A,BULB-HEAD & FOG LIGHT,84920GA400,02,01.06.1997 - 30.11.1998,,,,S.(TXS+BRIGLD+TSR+RS+GT+25T) +W.(TXS+BRIGLD+TSR+GT#+25T#+LAN#),,84920KE030 ITCA part is available
electric,845,LAMP (FOG),84927N*A,BRACKET-FOG LIGHT FRONT RIGHT,84927AC000,01,01.06.1997 - 30.11.1998,,,,S.(TXS+BRIGLD) +W.(TXS+BRIGLD),,
electric,845,LAMP (FOG),84927O*A,BRACKET-FOG LIGHT FRONT LEFT,84927AC010,01,01.06.1997 - 30.11.1998,,,,S.(TXS+BRIGLD) +W.(TXS+BRIGLD),,
electric,845,LAMP (FOG),84931G*A,SOCKET COMPLETE-FOG LIGHT FRONT,84931AC020,02,01.06.1997 - 30.11.1998,,,,S.(TXS+BRIGLD) +W.(TXS+BRIGLD),,
electric,845,LAMP (FOG),84986A,CLIP-FRONT COMBINATION LAMP,84965PA010,02,01.06.1997 - 30.11.1998,,,,S.(TXS+BRIGLD+TSR+RS+GT+25T) +W.(TXS+BRIGLD+TSR+GT#+25T#),,
