section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
electric,870,WIPER (WINDSHILDE),0227S,NUT,022710000,,,,,,,,
electric,870,WIPER (WINDSHILDE),0238S,FLANGE NUT,023806000,,,,,,,,
electric,870,WIPER (WINDSHILDE),86511,MOTOR ASSEMBLY-WINDSHIELD WIPER,86511AC002,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86513,"SLEEVE UNIT-WINDSHIELD WIPER,DRIVER",86513AC021,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86513A,SLEEVE UNIT-WINDSHIELD WIPER ASSISTOR,86513AC031,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86521A,LINK ASSEMBLY-WINDSHIELD WIPER DRIVER,86521AC001,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86521B,LINK ASSEMBLY-WINDSHIELD WIPER ASSISTOR,86521AC031,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86527,ROD-WINDSHIELD WIPER,86527AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86527A,ROD-WINDSHIELD WIPER A,86527AC010,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86532A,ARM ASSEMBLY-WINDSHIELD WIPER DRIVER,86532AC171,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86532B,ARM ASSEMBLY-WINDSHIELD WIPER ASSISTOR,86532AC181,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86535A,CAP-PIVOT WIPER DRIVER,86535FA010,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86535B,CAP-PIVOT WIPER ASSISTOR,86535FA000,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86538,COVER-WINDSHIELD WIPER ARM,86538FA010,02,01.06.1997 - 30.11.1998,,,,S +W,,86538SA020 ITCA part is available
electric,870,WIPER (WINDSHILDE),86542B,BLADE ASSEMBLY-WINDSHIELD WIPER DRIVER,86542FC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86542C,BLADE ASSEMBLY-WINDSHIELD WIPER ASSISTOR,86542FC030,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86548A*A,RUBBER ASSEMBLY-WINDSHIELD WIPER,86548FC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),86548A*B,RUBBER ASSEMBLY-WINDSHIELD WIPER,86548FC010,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,870,WIPER (WINDSHILDE),M12009,tapping screw,901120090,03,01.06.1997 - 30.11.1998,,,,S +W,,
