section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
electric,875,WINDSHIELD WASHER,86610,TANK ASSEMBLY-WINDSHIELD WASHER,86610FC000,01,01.06.1997 - 30.11.1998,,,,S.F4W.(LX+TXS+BRIGLD+TSR+RS+GT+25T) +W,,
electric,875,WINDSHIELD WASHER,86611,MOTOR & PUMP ASSEMBLY-WASHER,86611AA010,01,01.06.1997 - 30.11.1998,,,,S +W,F. washer,
electric,875,WINDSHIELD WASHER,86611,MOTOR & PUMP ASSEMBLY-WASHER,86611AC010,01,01.06.1997 - 30.11.1998,,,,S.F4W.(LX+TXS+BRIGLD+TSR+RS+GT+25T) +W,R. washer,
electric,875,WINDSHIELD WASHER,86615,CAP-WASHER TANK,86615AA060,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,875,WINDSHIELD WASHER,86623A,"PACKING-NOZZLE,WASHER",86623FA100,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,875,WINDSHIELD WASHER,86634,VALVE-WINDSHIELD WASHER,686206060,01,01.06.1997 - 30.11.1998,,,,S +W,,786634050 ITCA part is available
electric,875,WINDSHIELD WASHER,86636,NOZZLE ASSEMBLY-WINDSHIELD WASHER RIGHT,86636AC001,01,01.06.1997 - 30.11.1998,,,,S +W,driver side,
electric,875,WINDSHIELD WASHER,86636A,NOZZLE ASSEMBLY-WINDSHIELD WASHER LEFT,86636AC011,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,875,WINDSHIELD WASHER,86636D*A,NOZZLE-WINDSHIELD WASHER,86636AC021,01,01.06.1997 - 30.11.1998,,,,S +W,driver side,
electric,875,WINDSHIELD WASHER,86636D*B,NOZZLE-WINDSHIELD WASHER,86636AC031,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,875,WINDSHIELD WASHER,86638*A,Y JOINT-WINDSHIELD WASHER,86639AA000,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,875,WINDSHIELD WASHER,86638*B,Y JOINT-WINDSHIELD WASHER,86617AC020,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,875,WINDSHIELD WASHER,86655,HOSE ASSEMBLY-WINDSHIELD WASHER,86655FC030,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,875,WINDSHIELD WASHER,86655B,HOSE-WINDSHIELD WASHER,86655AA141,02,01.06.1997 - 30.11.1998,,,,S.F4W.(LX+TXS+BRIGLD+TSR+RS+GT+25T) +W,,
electric,875,WINDSHIELD WASHER,86686*A,CLIP-WASHER HOSE,86617AA040,02,01.06.1997 - 30.11.1998,,,,S +W,,
electric,875,WINDSHIELD WASHER,86686*B,CLIP-WASHER HOSE,86617AA050,01,01.06.1997 - 30.11.1998,,,,S +W,,
electric,875,WINDSHIELD WASHER,86688,GROMMET-WASHER HOSE,686223030,01,01.06.1997 - 30.11.1998,,,,S +W,,86623KG010 ITCA part is available
electric,875,WINDSHIELD WASHER,M120061,bolt and washer assembly,901120061,06,01.06.1997 - 30.11.1998,,,,S +W,,
