section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
electric,876,REAR WASHER,22472,SUPPORTER-HIGH TENSION CABLE,22472KA040,01,01.06.1997 - 30.11.1998,,,,W,,
electric,876,REAR WASHER,86386,"CLIP-ANTENNA,CORD",86327KC010,02,01.06.1997 - 30.11.1998,,,,W,,
electric,876,REAR WASHER,86634A,VALVE-HEAD LAMP WASHER,86634AA010,01,01.06.1997 - 30.11.1998,,,,W,,
electric,876,REAR WASHER,86638D,JOINT-WASHER,786639050,02,01.06.1997 - 30.11.1998,,,,W,,86639GA170 ITCA part is available
electric,876,REAR WASHER,86655A,HOSE ASSEMBLY-REAR WASHER,86655AC010,01,01.06.1997 - 30.11.1998,,,,*W.BRIGLD.N/S +W.TSR,,
electric,876,REAR WASHER,86655A,HOSE ASSEMBLY-REAR WASHER,86655AC080,01,01.06.1997 - 30.11.1998,,,,W.(BRIGLD+TSR+GT#+25T#+LAN#),,
electric,876,REAR WASHER,86655B*A,HOSE-WINDSHIELD WASHER,86655AC061,01,01.06.1997 - 30.11.1998,,,,W,,
electric,876,REAR WASHER,86655B*B,HOSE-WINDSHIELD WASHER,86655AC090,01,01.06.1997 - 30.11.1998,,,,W.N/S,,
electric,876,REAR WASHER,86688,GROMMET-WASHER HOSE,86623AC000,01,01.06.1997 - 30.11.1998,,,,W.N/S,,
electric,876,REAR WASHER,98248,"CLIP-HARNESS,A",98233AA031,02,01.06.1997 - 30.11.1998,,,,*W.N/S,,
electric,876,REAR WASHER,W205037,clip,909205037,01,01.06.1997 - 30.11.1998,,,,W,,
