section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
engine,004,CYLINDER BLOCK,11036,BAFFLE-CYLINDER BLOCK,11036AA001,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,11071,SEAL RING-CYLINDER BLOCK,10991AA000,03,01.10.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,10991AA001 ITCA part is available
engine,004,CYLINDER BLOCK,11093,COVER-SERVICE HOLE,11093AA000,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,11831,COVER-OIL SEPARATOR,11831AA080,01,01.06.1997 - 31.03.1998,,,,EJ18E +EJ20# +EJ25D,-E/#2213361,11831AA150 ITCA part is available
engine,004,CYLINDER BLOCK,15018,UNION-FUEL FILTER,15018AA021,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D +AT.EJ20H +EJ25D,,15018AA050 ITCA part is available
engine,004,CYLINDER BLOCK,25240,SWITCH ASSEMBLY-OIL PRESSURE,25240KA040,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,A50635,bolt and washer assembly,800506350,06,01.06.1997 - 30.11.1998,,6X13X13,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,A7065,bolt,800706500,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,A70862,bolt,800708620,06,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,A70863,bolt,800708630,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,B50604,SCREW-COUNTERSUNK HEAD,801506040,08,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,D92801,GASKET,803928010,03,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,G78603,OIL SEAL,806786030,01,01.06.1997 - 31.07.1998,,,,EJ18E +EJ20# +EJ25D,,806786040 ITCA part is available
engine,004,CYLINDER BLOCK,G78604,OIL SEAL,806786040,01,01.08.1998 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,G91905,seal O ring,806919050,03,01.06.1997 - 30.09.1997,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,G93203,seal O ring,806932030,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,11008,BLOCK SET-CYLINDER,11008AA151,01,01.06.1997 - 31.03.1998,,,,EJ20E +EJ20D +EJ20H,-E/#2213361,
engine,004,CYLINDER BLOCK,11008,BLOCK SET-CYLINDER,11008AA500,01,01.03.1998 - 30.11.1998,,EJ20 NA,,EJ20E +EJ20D,E/#2213362-,
engine,004,CYLINDER BLOCK,11024,PLUG-MAIN GALLERY,11024AA210,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,11034,WASHER-CYLINDER BLOCK SEALING,11034AA000,06,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,11034AA010 ITCA part is available
engine,004,CYLINDER BLOCK,A21099,bolt,800210990,08,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,A61001,bolt,800610010,02,01.06.1997 - 30.11.1998,,10X106X30,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,A91047,STUD,800910470,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,D01012,WASHER,803010120,04,01.06.1997 - 30.11.1998,,10.5X18X2.0,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,E01007,STRAIGHT PIN,804010070,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,004,CYLINDER BLOCK,E01406,STRAIGHT PIN,804014060,04,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
