section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
engine,010,PISTON & CRANKSHAFT,12006,PISTON SET,12006AA380,04,01.06.1997 - 30.11.1998,,"STD grade ""A""",,EJ20E,lean burn excluding,
engine,010,PISTON & CRANKSHAFT,12006,PISTON SET,12006AA390,*,01.06.1997 - 30.11.1998,,"STD grade ""B""",,EJ20E,lean burn excluding,
engine,010,PISTON & CRANKSHAFT,12006,PISTON SET,12006AA400,*,01.06.1997 - 30.11.1998,,"OS,0.25",,EJ20E,lean burn excluding,
engine,010,PISTON & CRANKSHAFT,12006,PISTON SET,12006AA410,*,01.06.1997 - 30.11.1998,,"OS,0.50",,EJ20E,lean burn excluding,
engine,010,PISTON & CRANKSHAFT,12024,PIN-PISTON,12024AA031,04,01.06.1997 - 30.11.1998,,,,EJ20E +EJ20D,,
engine,010,PISTON & CRANKSHAFT,12100,ROD ASSEMBLY-CONNECTING,12100AA080,04,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20#,,12100AA081 ITCA part is available
engine,010,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA210,01,01.06.1997 - 30.11.1998,,STD,,EJ18E +EJ20E +EJ20D,,12108AA810 ITCA part is available
engine,010,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA220,*,01.06.1997 - 30.11.1998,,"US,0.03",,EJ18E +EJ20E +EJ20D,,12108AA820 ITCA part is available
engine,010,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA230,*,01.06.1997 - 30.11.1998,,"US,0.05",,EJ18E +EJ20E +EJ20D,,12108AA830 ITCA part is available
engine,010,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA240,*,01.06.1997 - 30.11.1998,,"US,0.25",,EJ18E +EJ20E +EJ20D,,12108AA840 ITCA part is available
engine,010,PISTON & CRANKSHAFT,12113,BUSHING-CONNECTING ROD,12113AA031,04,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,12113AA120 ITCA part is available
