section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
engine,013,CAMSHAFT & TIMING BELT,13013,SUPPORT-CAMSHAFT,13013AA031,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,13019,"SPROCKET COMPLETE-CAMSHAFT,NO.2",13019AA030,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,13020,CAMSHAFT COMPLETE-RIGHT,13020AA450,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,13022,CAMSHAFT COMPLETE-LEFT,13022AA410,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,13092,"SUPPORT-CAMSHAFT,NO.2",13092AA000,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,A11208,bolt,800112080,02,01.06.1997 - 30.11.1998,,12X30X20,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,A2068,bolt,800206800,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,G73205,OIL SEAL,806732050,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,806732150 ITCA part is available
engine,013,CAMSHAFT & TIMING BELT,G94603,seal O ring,806946030,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,H04504,plug,807045040,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,12305,PULLEY-CRANKSHAFT,12305AA121,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,12305AA242 ITCA part is available
engine,013,CAMSHAFT & TIMING BELT,13033,ADJUSTER ASSEMBLY-BELT TENSIONER,13033AA001,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,13033AA002 ITCA part is available
engine,013,CAMSHAFT & TIMING BELT,13085,"IDLER COMPLETE-BELT,NO.2",13085AA010,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,13085AA070 ITCA part is available
engine,013,CAMSHAFT & TIMING BELT,13156,BRACKET COMPLETE-TENSIONER,13156AA051,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,13156AA052 Available together with other parts
engine,013,CAMSHAFT & TIMING BELT,13160,timing belt and label set,13160AA040,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,A11024,bolt,800110240,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,A11036,bolt,800110360,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,J20833,bolt,808208330,03,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,013,CAMSHAFT & TIMING BELT,J20838,bolt,808208380,03,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
