section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
engine,032,OIL PUMP & FILTER,11051,PLUG-CYLINDER HEAD,11051AA081,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,032,OIL PUMP & FILTER,11071,SEAL RING-CYLINDER BLOCK,10991AA000,01,01.10.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,10991AA001 ITCA part is available
engine,032,OIL PUMP & FILTER,15010,OIL PUMP ASSEMBLY-ENGINE,15010AA096,01,01.06.1997 - 30.04.1998,,,,EJ18E +EJ20E,,15010AA232 Available together with other parts
engine,032,OIL PUMP & FILTER,15010,OIL PUMP ASSEMBLY-ENGINE,15010AA231,01,01.05.1998 - 31.05.1998,,,,EJ18E +EJ20E,,15010AA232 Available together with other parts
engine,032,OIL PUMP & FILTER,15010,OIL PUMP ASSEMBLY-ENGINE,15010AA232,01,01.06.1998 - 30.11.1998,,,,EJ18E +EJ20E,,15010AA234 ITCA part is available
engine,032,OIL PUMP & FILTER,15015,"ROTOR-OIL PUMP,INNER",15015AA050,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,032,OIL PUMP & FILTER,15016,"ROTOR-OIL PUMP,OUTER",15016AA050,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,032,OIL PUMP & FILTER,15019,VALVE-OIL RELIEF,15019AA040,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,032,OIL PUMP & FILTER,15020,"SPRING-RELIEF VALVE,ENGINE",15020AA051,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,
engine,032,OIL PUMP & FILTER,15021,PLUG-OIL RELIEF,15021AA050,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,032,OIL PUMP & FILTER,15034,"COVER-OIL PUMP,ENGINE",15034AA002,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,032,OIL PUMP & FILTER,15048,SEALING-OIL PUMP,15048AA001,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,032,OIL PUMP & FILTER,15208,OIL FILTER COMPLETE,15208AA024,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,15208AA080 ITCA part is available
engine,032,OIL PUMP & FILTER,A7065,bolt,800706500,07,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,032,OIL PUMP & FILTER,B50604,SCREW-COUNTERSUNK HEAD,801506040,05,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,032,OIL PUMP & FILTER,D22001,WASHER,803220010,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,032,OIL PUMP & FILTER,G73301,OIL SEAL,806733010,01,01.06.1997 - 30.04.1998,,,,EJ18E +EJ20# +EJ25D,,806733020 ITCA part is available
engine,032,OIL PUMP & FILTER,G73302,OIL SEAL,806733020,01,01.05.1998 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,806733030 ITCA part is available
engine,032,OIL PUMP & FILTER,G91905,seal O ring,806919050,01,01.06.1997 - 30.09.1997,,,,EJ18E +EJ20# +EJ25D,,
