section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
engine,035,WATER PUMP,0104S,FLANGE BOLT,01040610A,,,,,,,,
engine,035,WATER PUMP,0104S,FLANGE BOLT,010406250,,,,,,,,
engine,035,WATER PUMP,11060,COVER-THERMO,11060AA070,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,11060AA071 ITCA part is available
engine,035,WATER PUMP,14065,PIPE COMPLETE-WATER BYPASS,14065AA000,02,01.06.1997 - 31.05.1998,,,,EJ18E +EJ20E +EJ20D,,
engine,035,WATER PUMP,14065,PIPE COMPLETE-WATER BYPASS,14065AA120,01,01.06.1998 - 31.10.1998,,,,EJ18E +EJ20E +EJ20D,,14065AA121 ITCA part is available
engine,035,WATER PUMP,14065,PIPE COMPLETE-WATER BYPASS,14065AA121,01,01.11.1998 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,
engine,035,WATER PUMP,21110K,water pump and gasket kit,X2111AA031,01,01.06.1997 - 30.11.1997,,,,EJ18E +EJ20E +EJ20D,,X2111AA032 ITCA part is available
engine,035,WATER PUMP,21110K,water pump and gasket kit,X2111AA032,01,01.12.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,X2111AA033 ITCA part is available
engine,035,WATER PUMP,21114,GASKET-WATER PUMP,21114AA050,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,21114AA051 ITCA part is available
engine,035,WATER PUMP,21116,SEALING-WATER PUMP,21116AA010,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,
engine,035,WATER PUMP,21200,THERMO ASSEMBLY,21200AA072,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,
engine,035,WATER PUMP,21210,THERMO AND GASKET ASSEMBLY,21210AA030,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,035,WATER PUMP,21236,GASKET-THERMO,21236AA010,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,
engine,035,WATER PUMP,A10693,bolt,800106930,06,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,
engine,035,WATER PUMP,F92209,HOSE CLAMP,805922090,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,
engine,035,WATER PUMP,H615081,HOSE,807615081,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,
