section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
engine,732,COMPRESSOR,0104S,FLANGE BOLT,01041028A,,,,,,,,
engine,732,COMPRESSOR,0104S,FLANGE BOLT,010406120,,,,,,,,
engine,732,COMPRESSOR,0105S,FLANGE BOLT,01050825A,,,,,,,,
engine,732,COMPRESSOR,0237S,FLANGE NUT,023706000,,,,,,,,
engine,732,COMPRESSOR,0238S,FLANGE NUT,023808006,,,,,,,,
engine,732,COMPRESSOR,0104S,FLANGE BOLT,010408956,,,,,,,,
engine,732,COMPRESSOR,73111,COMPRESSOR ASSEMBLY,73111AC002,01,01.06.1997 - 30.11.1998,,,,S +W,,
engine,732,COMPRESSOR,73130A,PULLEY ASSEMBLY-IDLE AIR CONDITIONER,73131AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,73131FC000 Available together with other parts
engine,732,COMPRESSOR,73132B,SHAFT-IDLE PULLEY,73132AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
engine,732,COMPRESSOR,73134,ADJUSTER-IDLE PULLEY,73134AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,73134AC001 ITCA part is available
engine,732,COMPRESSOR,73181C,FLANGE BOLT,73790AC100,01,01.06.1997 - 30.11.1998,,,,S +W,,
engine,732,COMPRESSOR,73283A,BOLT ASSEMBLY-CONDENSER,73790FA040,01,01.06.1997 - 30.11.1998,,,,S +W,,
engine,732,COMPRESSOR,73323,BELT-COMPRESSOR,73013AA000,*,01.06.1997 - 30.11.1998,,,,S +W,,73013AA001 ITCA part is available
engine,732,COMPRESSOR,73387,NUT,73092AA000,02,01.06.1997 - 30.11.1998,,,,S +W,,
engine,732,COMPRESSOR,73611*A,BRACKET ASSEMBLY-COMPRESSOR,73611AC000,01,01.06.1997 - 30.11.1998,,,,S +W,NO.1,
engine,732,COMPRESSOR,73611*B,BRACKET ASSEMBLY-COMPRESSOR,73611AC010,01,01.06.1997 - 30.11.1998,,,,S +W,NO.2,
engine,732,COMPRESSOR,73611*C,BRACKET ASSEMBLY-COMPRESSOR,73611AC020,01,01.06.1997 - 30.11.1998,,,,S +W,NO.3,
engine,732,COMPRESSOR,73623A,BRACKET-IDLE PULLY,73610AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
engine,732,COMPRESSOR,Y26929,bolt,73790AC010,02,01.06.1997 - 30.11.1998,,,,S +W,,800708720 ITCA part is available
