section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
trans,220,AIR SUSPENSION SYSTEM,0474S,TAPPING SCREW-HEXAGON FLANGE HEAD,047406160,,,,,,,,
trans,220,AIR SUSPENSION SYSTEM,0237S,FLANGE NUT,023705000,,,,,,,,
trans,220,AIR SUSPENSION SYSTEM,0239S,NUT-CONIKAL SPRING WASHER,023908006,,,,,,,,
trans,220,AIR SUSPENSION SYSTEM,0474S,TAPPING SCREW-HEXAGON FLANGE HEAD,047406125,,,,,,,,
trans,220,AIR SUSPENSION SYSTEM,0310S,WASHER,031005000,,,,,,,,
trans,220,AIR SUSPENSION SYSTEM,0100S,FLANGE BOLT-PILOT,010008166,,,,,,,,
trans,220,AIR SUSPENSION SYSTEM,0238S,FLANGE NUT,023806000,,,,,,,,
trans,220,AIR SUSPENSION SYSTEM,0116S,bolt and washer assembly,011605300,,,,,,,,
trans,220,AIR SUSPENSION SYSTEM,20741A,PLUG B,20741AA050,02,01.06.1997 - 30.11.1998,,,,W.N/S,,
trans,220,AIR SUSPENSION SYSTEM,20741B,PLUG C,20741AA060,02,01.06.1997 - 30.11.1998,,,,S +W.N/S,,
