section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
trans,267,ANTILOCK BRAKE SYSTEM,0101S,FLANGE BOLT-PILOT,010108160,,,,,,,,
trans,267,ANTILOCK BRAKE SYSTEM,0101S,FLANGE BOLT-PILOT,010108200,,,,,,,,
trans,267,ANTILOCK BRAKE SYSTEM,0238S,FLANGE NUT,023808000,,,,,,,,
trans,267,ANTILOCK BRAKE SYSTEM,0238S,FLANGE NUT,023810000,,,,,,,,
trans,267,ANTILOCK BRAKE SYSTEM,27541,"SENSOR ASSEMBLY-ABS,FRONT RIGHT",26740AA001,01,01.06.1997 - 30.11.1998,,,,S.F4W.(LX+TXS+BRIGLD+TSR+RS+GT+25T) +W.F4W.(LX+TXS+BRIGLD+TSR+GT#+25T),,
trans,267,ANTILOCK BRAKE SYSTEM,27541A,"SENSOR ASSEMBLY-ABS,FRONT LEFT",26740AA011,01,01.06.1997 - 30.11.1998,,,,S.F4W.(LX+TXS+BRIGLD+TSR+RS+GT+25T) +W.F4W.(LX+TXS+BRIGLD+TSR+GT#+25T),,
trans,267,ANTILOCK BRAKE SYSTEM,27541B,"SENSOR ASSEMBLY-ABS,REAR RIGHT",26740AA021,01,01.06.1997 - 30.11.1998,,,,S.F4W.(LX+TXS+BRIGLD+TSR+RS+GT+25T) +W.F4W.(LX+TXS+BRIGLD+TSR+GT#+25T),,
trans,267,ANTILOCK BRAKE SYSTEM,27541C,"SENSOR ASSEMBLY-ABS,REAR LEFT",26740AA031,01,01.06.1997 - 30.11.1998,,,,S.F4W.(LX+TXS+BRIGLD+TSR+RS+GT+25T) +W.F4W.(LX+TXS+BRIGLD+TSR+GT#+25T),,
trans,267,ANTILOCK BRAKE SYSTEM,27543,SPACER-ABS SENSOR,26755AA000,*,01.06.1997 - 30.11.1998,,,,S.F4W +W.F4W,,
trans,267,ANTILOCK BRAKE SYSTEM,27529,ECU REPAIR-ABS,27529AC050,01,01.06.1997 - 30.11.1998,,,,S.F4W.AT +W.F4W.AT,,
trans,267,ANTILOCK BRAKE SYSTEM,27530,HYDRAULIC UNIT ASSEMBLY-ABS,27539AC050,01,01.06.1997 - 30.11.1998,,,,S.F4W.AT +W.F4W.AT,,
trans,267,ANTILOCK BRAKE SYSTEM,27532,DAMPER-HYDRO UNIT,27532AC020,03,01.06.1997 - 30.11.1998,,,,S.F4W +W.F4W,,
trans,267,ANTILOCK BRAKE SYSTEM,27535,BRACKET A-HYDRO UNIT,27535AC100,01,01.06.1997 - 30.11.1998,,,,S.F4W +W.F4W,,27535AC101 ITCA part is available
trans,267,ANTILOCK BRAKE SYSTEM,27541D,G SENSOR ASSEMBLY-ABS,27540AC061,01,01.06.1997 - 30.11.1998,,,,S.F4W +W.F4W,,
trans,267,ANTILOCK BRAKE SYSTEM,27586B,BOLT-STUD,27537AC010,02,01.06.1997 - 30.11.1998,,,,S.F4W +W.F4W,,
trans,267,ANTILOCK BRAKE SYSTEM,M060004,bolt,901060004,01,01.06.1997 - 30.11.1998,,,,S.F4W +W.F4W,,
trans,267,ANTILOCK BRAKE SYSTEM,N37003,FLANGE NUT,902370030,01,01.06.1997 - 30.11.1998,,,,S.F4W +W.F4W,,
trans,267,ANTILOCK BRAKE SYSTEM,P100018,WASHER,903100018,01,01.06.1997 - 30.11.1998,,,,S.F4W +W.F4W,,
