diagram_prefix,section_slug,section_name,diagram_codes,diagram_names,image_paths,source_section,source_diagram,oem_number,part_name,quantity,production_period,applies_for_models,notes,group_code,engine_tokens,interchange_signal,confidence_gate,required_verification,shared_engine_candidate,donor_engine_tokens,shared_confidence_statement,shared_required_verification
001,engine-main,Engine Main,001_01,ENGINE ASSEMBLY,/diagrams/01_ENGINE_MAIN/B11_001_01_LH_2_LR.gif,Engine Main,ENGINE ASSEMBLY,10100BB180,ENGINE ASSEMBLY,01,01.06.1997 - 30.11.1998,AT.EJ20E,,10100,EJ20E,ej20e_specific_target_part,Target-fit evidence only; no cross-engine interchange claim.,Use exact OEM number or supersession for purchases; do not substitute a donor engine without separate evidence.,,,,
002,engine-main,Engine Main,002_01,ENGINE GASKET & SEAL KIT,/diagrams/01_ENGINE_MAIN/B11_002_01_LH_2_LR.gif,Engine Main,ENGINE GASKET & SEAL KIT,10105AA190,GASKET AND SEAL KIT-ENGINE,01,01.06.1997 - 30.11.1998,EJ20E,,10105,EJ20E,ej20e_specific_target_part,Target-fit evidence only; no cross-engine interchange claim.,Use exact OEM number or supersession for purchases; do not substitute a donor engine without separate evidence.,,,,
003,engine-main,Engine Main,003_01,SHORT BLOCK ENGINE,/diagrams/01_ENGINE_MAIN/B11_003_01_LH_2_LR.gif,Engine Main,SHORT BLOCK ENGINE,10103AA770,SHORT BLOCK ENGINE ASSEMBLY,01,-E/#2213361,EJ25D,EC E2 E5 E9 K4,10103,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
003,engine-main,Engine Main,003_01,SHORT BLOCK ENGINE,/diagrams/01_ENGINE_MAIN/B11_003_01_LH_2_LR.gif,Engine Main,SHORT BLOCK ENGINE,10103AA890,SHORT BLOCK ENGINE ASSEMBLY,01,,EJ25D.N/S,KS K0 -E/#2213361,10103,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
003,engine-main,Engine Main,003_01,SHORT BLOCK ENGINE,/diagrams/01_ENGINE_MAIN/B11_003_01_LH_2_LR.gif,Engine Main,SHORT BLOCK ENGINE,10103AA970,SHORT BLOCK ENGINE ASSEMBLY,01,E/#2213362-,EJ25D,EC E2 E5 E9 K4,10103,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
003,engine-main,Engine Main,003_01,SHORT BLOCK ENGINE,/diagrams/01_ENGINE_MAIN/B11_003_01_LH_2_LR.gif,Engine Main,SHORT BLOCK ENGINE,10103AA980,SHORT BLOCK ENGINE ASSEMBLY,01,,EJ25D.N/S,KS KO E/#2213362-,10103,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11036AA001,BAFFLE-CYLINDER BLOCK,01,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,11036,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,10991AA000,SEAL RING-CYLINDER BLOCK,03,01.10.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,11071,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11093AA000,COVER-SERVICE HOLE,01,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,11093,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11831AA080,COVER-OIL SEPARATOR,01,01.06.1997 - 31.03.1998,EJ18E +EJ20# +EJ25D,-E/#2213361,11831,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
