# Door Parts
11 exploded diagrams | BG5P Legacy GL EJ20E SOHC NA

## Parts by Diagram

### 600_01: FRONT DOOR PANEL
61100AC021 | PANEL ASSEMBLY-FRONT DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61101AC000 | PANEL ASSEMBLY-FRONT DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.(EJ20E+EJ25D) +W
61100AC031 | PANEL ASSEMBLY-FRONT DOOR,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61101AC010 | PANEL ASSEMBLY-FRONT DOOR,LEFT x01 | 02.1997 - 11.1998 | S.(EJ20E+EJ25D) +W
661157040 | PROTECTOR-DOOR x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61220AC000 | HINGE-FRONT DOOR,UPPER x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
60102GA300 | STOPPER-REAR GATE x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
909230013 | GROMMET SEAT x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
023706000 | FLANGE NUT
60152GA090 | PIN-DOOR CHECKER x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
901270002 | BOLT & WASHER ASSEMBLY x08 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62302AC101 | CHECKER ASSEMBLY-FRONT DOOR x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
901000160 | FLANGE BOLT x08 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61220AC010 | HINGE-FRONT DOOR,LOWER x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62305FA000 | SCREW GROMMET x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62301AC100 | WEATHER STRIP-DOOR,OUT RH x01 | 09.1998 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62301AC002 | WEATHER STRIP-DOOR,OUT RH x01 | 02.1997 - 08.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62301AC110 | WEATHER STRIP-DOOR,OUT LH x01 | 09.1998 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62301AC012 | WEATHER STRIP-DOOR,OUT LH x01 | 02.1997 - 08.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
904510047 | TAPPING SCREW-TRUSS HEAD x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62303FA011 | STABILIZER ASSEMBLY-OUTER x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62300AC020 | SASH ASSEMBLY-FRONT DOOR REAR RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62300AC030 | SASH ASSEMBLY-FRONT DOOR REAR LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62300AC000 | SASH ASSEMBLY-FRONT DOOR FRONT RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
