# Part Number Index — BG5P Legacy GL
All OEM part numbers. Search by number or name.

OEM_NUMBER | PART_NAME | SECTION | DIAGRAM_CODE
010006120 | FLANGE BOLT-PILOT | Body Electrical 1 | 822
010006120 | FLANGE BOLT-PILOT | Steering | 343
010006126 | FLANGE BOLT-PILOT | Body Electrical 1 | 822
010006126 | FLANGE BOLT-PILOT | Body Electrical 2 | 845
010006126 | FLANGE BOLT-PILOT | Body Key Bumper | 591
010006126 | FLANGE BOLT-PILOT | Heater & AC | 730
010006160 | FLANGE BOLT-PILOT | Body Electrical 1 | 835
010006160 | FLANGE BOLT-PILOT | Body Key Bumper | 580
010006160 | FLANGE BOLT-PILOT | Door Parts | 600
010006160 | FLANGE BOLT-PILOT | Engine Mounting Cooling | 421
010006160 | FLANGE BOLT-PILOT | Steering | 346
010006166 | FLANGE BOLT-PILOT | Heater & AC | 730
010006166 | FLANGE BOLT-PILOT | Steering | 346
010006200 | FLANGE BOLT-PILOT | Engine Auxiliaries | 070
010008160 | FLANGE BOLT-PILOT | Body Electrical 1 | 820
010008160 | FLANGE BOLT-PILOT | Inner Accessories | 970
010008160 | FLANGE BOLT-PILOT | Steering | 350
010008160 | FLANGE BOLT-PILOT | Suspension Axle Brake | 265
010008160 | FLANGE BOLT-PILOT | Unknown | 560
010008166 | FLANGE BOLT-PILOT | Engine Mounting Cooling | 450
010008166 | FLANGE BOLT-PILOT | Suspension Axle Brake | 265
010008167 | FLANGE BOLT-PILOT | Body Key Bumper | 575
010008200 | FLANGE BOLT-PILOT | Engine Mounting Cooling | 440
010008200 | FLANGE BOLT-PILOT | Suspension Axle Brake | 200
010008206 | FLANGE BOLT-PILOT | Suspension Axle Brake | 260
010008300 | FLANGE BOLT-PILOT | Suspension Axle Brake | 265
010106106 | FLANGE BOLT-PILOT | Engine Mounting Cooling | 421
010106120 | FLANGE BOLT-PILOT | Door Parts | 600
010106120 | FLANGE BOLT-PILOT | Steering | 348
010106126 | FLANGE BOLT-PILOT | Steering | 346
010106127 | FLANGE BOLT-PILOT | Engine Mounting Cooling | 440
010106160 | FLANGE BOLT-PILOT | Body Key Bumper | 550
010106160 | FLANGE BOLT-PILOT | Steering | 346
010106160 | FLANGE BOLT-PILOT | Suspension Axle Brake | 265
010106166 | FLANGE BOLT-PILOT | Steering | 348
010106200 | FLANGE BOLT-PILOT | Engine Mounting Cooling | 440
010106200 | FLANGE BOLT-PILOT | Seat Instrument Panel | 641
010108160 | FLANGE BOLT-PILOT | Steering | 343
010108160 | FLANGE BOLT-PILOT | Suspension Axle Brake | 267
010108166 | FLANGE BOLT-PILOT | Body Key Bumper | 550
010108200 | FLANGE BOLT-PILOT | Engine Mounting Cooling | 440
010108200 | FLANGE BOLT-PILOT | Suspension Axle Brake | 267
010108206 | FLANGE BOLT-PILOT | Suspension Axle Brake | 260
010108257 | FLANGE BOLT-PILOT | Steering | 348
010110200 | FLANGE BOLT-PILOT | Engine Mounting Cooling | 415
010110250 | FLANGE BOLT-PILOT | Engine Mounting Cooling | 440
01030645A | FLANGE BOLT | Engine Main | 022
01040610A | FLANGE BOLT | Engine Main | 031
010406120 | FLANGE BOLT | Heater & AC | 732
01040614G | FLANGE BOLT | Engine Electrical | 090
010406200 | FLANGE BOLT | Engine Electrical | 090
010406200 | FLANGE BOLT | Engine Main | 030
01040620G | FLANGE BOLT | Engine Main | 030
010406250 | FLANGE BOLT | Engine Main | 035
010406256 | FLANGE BOLT | Heater & AC | 730
010408120 | FLANGE BOLT | Engine Electrical | 091
01040812A | FLANGE BOLT | Steering | 348
01040812G | FLANGE BOLT | Heater & AC | 730
010408140 | FLANGE BOLT | Steering | 348
01040816G | FLANGE BOLT | Engine Auxiliaries | 050
010408200 | FLANGE BOLT | Engine Auxiliaries | 062
010408400 | FLANGE BOLT | Steering | 348
